Page Name,Amount Spent (EUR),len_amt,state
Vattenfall Nederland,255942,6,Noord Holland 
Stichting Vluchteling,204178,6,Noord Holland 
Amnesty International Nederland,162370,6,Noord Holland 
Greenpeace Nederland,156781,6,Noord Holland 
Forum voor Democratie -FVD,93800,5,Noord Holland 
D66,76641,5,Noord Holland 
CDA,75665,5,Noord Holland 
VVD,67771,5,Noord Holland 
Oxfam Novib,66947,5,Noord Holland 
World Animal Protection Nederland,63141,5,Noord Holland 
Save the Children Nederland,54702,5,Noord Holland 
UNHCR Nederland,51637,5,Noord Holland 
Plan International Nederland,47199,5,Noord Holland 
European Parliament,42551,5,Noord Holland 
SP,39021,5,Noord Holland 
GroenLinks,38962,5,Noord Holland 
"Ministerie van Volksgezondheid, Welzijn en Sport",35038,5,Noord Holland 
CIWF Nederland,33618,5,Noord Holland 
UNICEF Nederland,28817,5,Noord Holland 
Milieudefensie,25818,5,Noord Holland 
Partij van de Arbeid (PvdA),23312,5,Noord Holland 
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,21472,5,Noord Holland 
Partij voor de Dieren,20406,5,Noord Holland 
Voor 14,19943,5,Noord Holland 
Volt Nederland,19143,5,Noord Holland 
ifaw,18473,5,Noord Holland 
ASN Bank,18367,5,Noord Holland 
World Vision Nederland,17015,5,Noord Holland 
Gemeente Amsterdam,16987,5,Noord Holland 
VluchtelingenWerk Nederland,16846,5,Noord Holland 
Oxfam Novib,16192,5,Noord Holland 
Jesse Klaver,15995,5,Noord Holland 
Aidsfonds,15063,5,Noord Holland 
Iedereen doet wat,12962,5,Noord Holland 
Consumentenkeuzehulp.nl,12376,5,Noord Holland 
Dokters van de Wereld (NL),12281,5,Noord Holland 
Wopke Hoekstra,11952,5,Noord Holland 
Wakker Dier,11447,5,Noord Holland 
Rode Kruis,10168,5,Noord Holland 
Cordaid,10154,5,Noord Holland 
Terre des Hommes Nederland,10094,5,Noord Holland 
Oatly,9786,4,Noord Holland 
Nationaal Comité 4 en 5 mei,9707,4,Noord Holland 
JA21,9185,4,Noord Holland 
MBRC,8563,4,Noord Holland 
Kinderfonds MAMAS,8561,4,Noord Holland 
European Parliament,8539,4,Noord Holland 
Wereld Natuur Fonds - WWF,8442,4,Noord Holland 
NRC,8372,4,Noord Holland 
PAX,8315,4,Noord Holland 
BNNVARA,8172,4,Noord Holland 
ActionAid Nederland,8141,4,Noord Holland 
Facebook app,8026,4,Noord Holland 
Fairtrade Nederland,7885,4,Noord Holland 
State of Youth,7630,4,Noord Holland 
FNV Vakbond,7592,4,Noord Holland 
3FM,7368,4,Noord Holland 
BIJ1,7247,4,Noord Holland 
Amref Flying Doctors NL,7140,4,Noord Holland 
DENK,7095,4,Noord Holland 
KPN,6995,4,Noord Holland 
Milieu Centraal,6854,4,Noord Holland 
Cycle for Plan,6769,4,Noord Holland 
College voor de Rechten van de Mens,6648,4,Noord Holland 
Omroep Groen,6642,4,Noord Holland 
ABN AMRO,5986,4,Noord Holland 
Vollediggroen.nl,5984,4,Noord Holland 
Nacht van de Vluchteling,5664,4,Noord Holland 
Giro555,5509,4,Noord Holland 
FYGI - Happy Recruiters,5200,4,Noord Holland 
War Child Holland,5109,4,Noord Holland 
Nationale Wetenschapsagenda,5045,4,Noord Holland 
The Privacy Collective NL,5037,4,Noord Holland 
Libertaire Partij - LP,4842,4,Noord Holland 
EU Environment,4802,4,Noord Holland 
PCRTest.nl,4737,4,Noord Holland 
Stichting De Noordzee,4625,4,Noord Holland 
Lipton Ice Tea,4511,4,Noord Holland 
Lilian Marijnissen,4412,4,Noord Holland 
Duurzaam020,4397,4,Noord Holland 
Facebook,4335,4,Noord Holland 
Mercy Ships Holland,4265,4,Noord Holland 
De Amsterdamse VVD,4188,4,Noord Holland 
Opzoeknaarrendement.nl,4120,4,Noord Holland 
Lucille Werner,4070,4,Noord Holland 
Woonbond,4063,4,Noord Holland 
Gert-Jan Segers,3963,4,Noord Holland 
De Goede Zaak,3856,4,Noord Holland 
WOMEN Inc.,3703,4,Noord Holland 
Chilly's Bottles,3688,4,Noord Holland 
Joods Cultureel Kwartier,3606,4,Noord Holland 
Patagonia,3579,4,Noord Holland 
Max Wonen,3514,4,Noord Holland 
Varkens in Nood,3468,4,Noord Holland 
Mastercard,3447,4,Noord Holland 
Opzoeknaarzonnepanelen.nl,3343,4,Noord Holland 
ZOA,3310,4,Noord Holland 
WNL,3309,4,Noord Holland 
Diesel Emissions Justice Foundation,3296,4,Noord Holland 
Artsen zonder Grenzen,3291,4,Noord Holland 
Amnesty International Nederland,3221,4,Noord Holland 
Harmen Krul,3144,4,Noord Holland 
Consuwise,3077,4,Noord Holland 
KRO-NCRV,3035,4,Noord Holland 
Vandebron,2954,4,Noord Holland 
Sneltest.nl,2893,4,Noord Holland 
PvdA Haarlem,2869,4,Noord Holland 
Europees Parlement Nederland,2866,4,Noord Holland 
VNO-NCW,2827,4,Noord Holland 
Psst,2745,4,Noord Holland 
Natuur & Milieu,2723,4,Noord Holland 
Dierenbescherming,2711,4,Noord Holland 
Jelle Beemsterboer,2697,4,Noord Holland 
Wilde Ganzen,2621,4,Noord Holland 
CARE Nederland,2621,4,Noord Holland 
Code Oranje,2612,4,Noord Holland 
Het Parool,2583,4,Noord Holland 
Maskr,2581,4,Noord Holland 
Mama Cash,2559,4,Noord Holland 
MBRC,2547,4,Noord Holland 
Open Doors,2523,4,Noord Holland 
Edukans,2517,4,Noord Holland 
BBB Boerburgerbeweging,2516,4,Noord Holland 
JONG,2511,4,Noord Holland 
Pointer KRO-NCRV,2453,4,Noord Holland 
Expat Republic,2401,4,Noord Holland 
Ben & Jerry's,2330,4,Noord Holland 
Daan Versteeg,2329,4,Noord Holland 
VPRO,2327,4,Noord Holland 
Jonge Socialisten in de PvdA,2298,4,Noord Holland 
Rode Hoed,2274,4,Noord Holland 
WorldWatchers_Nederland,2271,4,Noord Holland 
ChristenUnie,2234,4,Noord Holland 
Vattenfall Nederland,2229,4,Noord Holland 
Shell,2224,4,Noord Holland 
Wilde Ganzen,2221,4,Noord Holland 
Werken voor Nederland,2189,4,Noord Holland 
HospitaalBroeders,2177,4,Noord Holland 
UNHCR Nederland,2159,4,Noord Holland 
Watmagnu,2151,4,Noord Holland 
Cycle for Plan,2138,4,Noord Holland 
WorldWatchers_Nederland,2115,4,Noord Holland 
Wereld Natuur Fonds - WWF,2084,4,Noord Holland 
Stichting leerKRACHT,2052,4,Noord Holland 
European Greens,1970,4,Noord Holland 
GO Realisme & Daadkracht,1968,4,Noord Holland 
AD.nl,1956,4,Noord Holland 
de Volkskrant,1904,4,Noord Holland 
Stichting Vluchteling,1897,4,Noord Holland 
VELUX,1841,4,Noord Holland 
Thierry Baudet,1834,4,Noord Holland 
"Ministerie van Volksgezondheid, Welzijn en Sport",1834,4,Noord Holland 
Belvilla,1797,4,Noord Holland 
Klaas Dijkhoff,1785,4,Noord Holland 
European Commission,1770,4,Noord Holland 
Cambridge Institute for Sustainability Leadership,1761,4,Noord Holland 
VIER VOETERS,1726,4,Noord Holland 
KNCV Tuberculosefonds,1720,4,Noord Holland 
World Food Programme,1698,4,Noord Holland 
Ons Diemen,1657,4,Noord Holland 
50PLUSpartij,1640,4,Noord Holland 
NIDA,1630,4,Noord Holland 
Skyworld in your hands,1612,4,Noord Holland 
Gemeente Medemblik,1610,4,Noord Holland 
NOW,1582,4,Noord Holland 
Argos,1574,4,Noord Holland 
Hivos,1572,4,Noord Holland 
Op reis naar 2050,1570,4,Noord Holland 
Eerlijke Geldwijzer,1570,4,Noord Holland 
ENGIE Energie Nederland,1554,4,Noord Holland 
Schoner Holland,1548,4,Noord Holland 
Ongehoord Nederland,1541,4,Noord Holland 
De Nederlandse Kluis,1540,4,Noord Holland 
EPP - European People's Party,1533,4,Noord Holland 
8 Billion Trees,1527,4,Noord Holland 
easyJet,1506,4,Noord Holland 
The Ocean Cleanup,1505,4,Noord Holland 
Kom over en help,1502,4,Noord Holland 
CASsummit2021,1499,4,Noord Holland 
Groasis,1489,4,Noord Holland 
Pointer (KRO-NCRV),1479,4,Noord Holland 
Save the Children Nederland,1468,4,Noord Holland 
Prove Them Wrong,1461,4,Noord Holland 
Longfonds,1436,4,Noord Holland 
Simavi,1407,4,Noord Holland 
Coöperatie Laatste Wil,1404,4,Noord Holland 
Workplace from Facebook,1403,4,Noord Holland 
Eveline Tijmstra,1393,4,Noord Holland 
NPO,1334,4,Noord Holland 
Stichting Bootvluchteling,1332,4,Noord Holland 
UNICEF Nederland,1329,4,Noord Holland 
D66 Haarlem,1323,4,Noord Holland 
Hier met je peuk,1290,4,Noord Holland 
Greenchoice,1287,4,Noord Holland 
"Ministerie van Onderwijs, Cultuur en Wetenschap",1268,4,Noord Holland 
Go. Green. Easy,1243,4,Noord Holland 
Ben & Jerry's,1236,4,Noord Holland 
Blendle,1220,4,Noord Holland 
ACN - Kerk in Nood,1216,4,Noord Holland 
GSA Netwerk,1206,4,Noord Holland 
NTR,1205,4,Noord Holland 
Regio Holland boven Amsterdam,1197,4,Noord Holland 
Volvo Car Nederland,1169,4,Noord Holland 
Bas Eickhout,1162,4,Noord Holland 
ABN AMRO,1151,4,Noord Holland 
EenVandaag,1143,4,Noord Holland 
Naturalis,1131,4,Noord Holland 
HappySoaps,1127,4,Noord Holland 
Wybren van Haga,1120,4,Noord Holland 
Libelle,1105,4,Noord Holland 
Deloitte,1103,4,Noord Holland 
Pensioenverlies,1088,4,Noord Holland 
Simyo,1084,4,Noord Holland 
Postcode Loterij,1082,4,Noord Holland 
Cultuur onder Vuur,1069,4,Noord Holland 
Gemeente Bergen NH,1068,4,Noord Holland 
KWF Kankerbestrijding / Dutch Cancer Society,1064,4,Noord Holland 
Klimaatalarm,1059,4,Noord Holland 
PitPoint NL,1049,4,Noord Holland 
Gezin in Gevaar,1045,4,Noord Holland 
Extinction Rebellion NL,1029,4,Noord Holland 
asr,1023,4,Noord Holland 
iCompario,1023,4,Noord Holland 
ChristenUnie Amsterdam,1020,4,Noord Holland 
Verziek het niet,1017,4,Noord Holland 
Nationaal Comité 4 en 5 mei,1016,4,Noord Holland 
Free Press Unlimited,1006,4,Noord Holland 
Sofyan Mbarki,996,3,Noord Holland 
Zootje Geregeld,990,3,Noord Holland 
Solease Zonnepanelen,960,3,Noord Holland 
Wijdoenwat.nl,960,3,Noord Holland 
