Page ID,Party,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library,valid_adds
609816282477420,FvD,Forum voor Democratie -FVD,Forum voor Democratie -FVD,671853,863,no
320374518118,CDA,CDA,CDA,649255,7593,no
52985377549,D66,D66,D66,423186,2235,no
121264564551002,VVD,VVD,VVD,405312,6755,no
175740570505,GroenLinks,GroenLinks,GroenLinks,175075,888,no
113895885305052,PvdA,Partij van de Arbeid (PvdA),Partij van de Arbeid (PvdA),154452,4866,no
146644665960101,VOLT NL,Volt Nederland,Volt Nederland,97673,1310,no
102287806490622,PvdD,Partij voor de Dieren,Partij voor de Dieren,90187,158,no
106020448037192,JA21,JA21,JA21.nl,66031,105,no
717249231795539,BIJ1,BIJ1,BIJ1,38401,156,no
1550088745275913,DENK,DENK,DENK,36162,411,no
125663380814227,Libertaire Partij - LP,Libertaire Partij - LP,Libertaire Partij - LP,28213,160,no
338750440106782,BBB,BBB Boerburgerbeweging,BoerBurgerBeweging,25428,79,no
211661062254003,ChristenUnie,ChristenUnie,ChristenUnie,23630,132,no
2282333235129671,Code Oranje,Code Oranje,Code Oranje,17183,148,no
481539345557642,JONG,JONG,Vereniging voor Jonge Politiek in Nederland,15743,172,no
112246298811452,PvdA,Jonge Socialisten in de PvdA,Jonge Socialisten in de PvdA,14316,190,no
347623668624706,50PLUSpartij,50PLUSpartij,ZH i.o.v. 50PLUS,13022,86,no
433611050005553,SGP,SGP,SGP,8170,56,no
1438054859744079,NIDA,NIDA,NIDA,6415,47,no
111834750560059,NLBeter,NLBeter,Nederland Beter,5036,75,no
347623668624706,50PLUSpartij,50PLUSpartij,Zoekhelden B.V.,4902,25,no
135642563196256,CDA,"CDJA, CDA-jongeren",CDJA,4873,31,no
609816282477420,FvD,Forum voor Democratie -FVD,These ads ran without a disclaimer,4787,16,yes
347623668624706,50PLUSpartij,50PLUSpartij,VLG,4398,47,no
152313778157632,VVD,De Amsterdamse VVD,de Amsterdamse VVD,4189,39,no
347623668624706,50PLUSpartij,50PLUSpartij,These ads ran without a disclaimer,3345,10,yes
320374518118,CDA,CDA,These ads ran without a disclaimer,2885,3,yes
374461422625101,PvdA,PvdA Haarlem,Partij van de Arbeid,2874,59,no
759417477428801,PvdA,PvdA Zeeland,Partij van de Arbeid,2537,12,no
402039413225497,ChristenUnie,ChristenUnie Zwolle,ChristenUnie Zwolle,2496,24,no
208032132579030,PvdA,PvdA Groningen,PvdA-fractie Groningen,2487,128,no
195643057135775,PvdD,Partij voor de Dieren Zuid-Holland,Partij voor de Dieren Zuid Holland,2485,39,no
550151728397109,CDA,CDA Drenthe,CDA Drenthe,2214,32,no
627201893971363,PvdA,Pvda Den Bosch,PvdA Den Bosch,2184,61,no
101124991879374,Splinter,Splinter,Frank Van Kooten,2104,9,no
1530277467215488,VVD,VVD Drenthe,VVD,2073,32,no
327605354041024,CDA,CDA Zeeland,CDA Zeeland,2043,21,no
206932742776182,CDA,CDA Overijssel,CDA Overijssel,2013,20,no
175658419295023,CDA,CDA Den Haag,CDA,1927,62,no
121264564551002,VVD,VVD,These ads ran without a disclaimer,1910,86,yes
146644665960101,VOLT NL,Volt Nederland,These ads ran without a disclaimer,1870,36,yes
272033265993,D66,D66 Utrecht,D66,1695,9,no
1523833891223465,CDA,CDA Zuid-Holland,CDA Zuid-Holland,1616,52,no
408987755826785,SP,SP Arnhem,Gerrie Elfrink,1572,31,no
125382950819455,SP,SP Groningen,SP Groningen,1562,24,no
610950552253067,GroenLinks,"DWARS, GroenLinkse Jongeren","DWARS, GroenLinkse Jongeren",1526,12,no
223379487703566,VVD,VVD Westland,VVD Westland,1435,3,no
208032132579030,PvdA,PvdA Groningen,PvdA Groningen,1355,45,no
134898129893433,SGP,SGP-jongeren,SGP-jongeren,1332,29,no
235718236590845,D66,D66 Haarlem,Marc Dinsbach,1312,23,no
